id,model,trim,year,price_usd,mileage_km,fuel_type,transmission,engine_liters,horsepower,color,body_type,region,owner_count,condition,service_history
2392,GLS,Base,2014,114141,135092,Petrol,Automatic,5,514,Gray,SUV,North America,4,Very Good,Yes
2393,GLS,Sport,2008,113270,154993,Diesel,Manual,5,583,Gray,SUV,North America,4,Excellent,No
2394,CLA,Exclusive,2009,22051,168101,Diesel,Automatic,1.5,181,Gold,Coupe,Europe,2,Good,Yes
2395,GLB,Sport,2009,57096,106758,Petrol,Manual,6.8,206,Brown,Sedan,Middle East,3,New,No
2396,GLC,AMG Line,2024,66666,19204,Petrol,Automatic,6.3,219,White,SUV,Asia Pacific,1,Good,Yes
2397,GLB,AMG Line,2025,89909,102235,Diesel,Manual,6.8,592,Black,Coupe,Europe,3,Like New,Yes
2398,C-Class,Night Edition,2012,58887,127379,Petrol,Automatic,2,565,Blue,Hatchback,Africa,2,Good,No
2399,CLA,Avantgarde,2021,80386,130806,Hybrid,Automatic,2.6,586,Gold,Coupe,Europe,2,Excellent,Yes
2400,CLA,Base,2025,66786,152501,Diesel,Manual,3.3,357,White,Coupe,Middle East,1,New,Yes
2401,EQA,Base,2012,67947,200018,Electric,Automatic,0,526,Red,Sedan,Asia Pacific,3,Fair,Yes
2402,EQC,Luxury,2022,124948,33084,Electric,Automatic,0,570,Gray,Sedan,Asia Pacific,2,New,Yes
2403,GLC,Luxury,2022,74476,170924,Petrol,Automatic,1.9,204,Black,Roadster,North America,1,New,No
2404,E-Class,Night Edition,2022,77455,88934,Diesel,Manual,5.3,365,Gray,Coupe,Middle East,1,Very Good,Yes
2405,GLC,AMG Line,2022,60210,189977,Petrol,Automatic,2,367,Beige,Wagon,Middle East,2,Fair,Yes
2406,GLC,Base,2014,86932,58038,Plug-in Hybrid,Manual,2.6,611,Silver,Wagon,Europe,4,Fair,No
2407,B-Class,Luxury,2021,80305,84356,Hybrid,Automatic,1.8,512,Red,Roadster,Europe,1,New,Yes
2408,EQA,Exclusive,2024,76155,123531,Electric,Automatic,0,196,Beige,Sedan,Europe,2,Like New,Yes
2409,EQB,Base,2014,92425,151924,Electric,Automatic,0,570,Gold,SUV,Asia Pacific,4,Excellent,Yes
2410,A-Class,Base,2025,49115,107084,Petrol,Automatic,3.5,461,Green,Wagon,Europe,1,Fair,Yes
2411,EQC,Luxury,2015,92935,94728,Electric,Automatic,0,484,Blue,Sedan,Middle East,3,Good,No
2412,AMG GT,Luxury,2022,161283,97620,Diesel,Automatic,5,426,Brown,Coupe,Middle East,1,New,Yes
2413,GLB,Exclusive,2024,59617,173311,Plug-in Hybrid,Automatic,5.5,375,Red,SUV,Latin America,1,Fair,No
2414,GLA,Luxury,2011,46874,146974,Petrol,Manual,6.2,358,Black,Coupe,North America,1,Good,Yes
2415,A-Class,Base,2017,65249,40849,Petrol,Manual,2.2,369,Beige,SUV,Europe,2,New,Yes
2416,EQA,Premium Plus,2009,62690,117544,Electric,Automatic,0,279,Gold,SUV,Africa,4,Very Good,Yes
2417,GLA,Base,2021,49114,172396,Plug-in Hybrid,Manual,6.7,163,Green,Wagon,Africa,3,Good,Yes
2418,GLS,Premium,2020,126246,73876,Petrol,Automatic,2.1,587,Brown,SUV,Middle East,2,Very Good,Yes
2419,C-Class,Sport,2011,53736,102155,Plug-in Hybrid,Automatic,5.5,216,Silver,Coupe,Africa,2,Excellent,Yes
2420,EQB,Night Edition,2016,90005,207417,Electric,Automatic,0,551,Blue,Sedan,Latin America,4,Excellent,Yes
2421,C-Class,Avantgarde,2014,73341,90594,Petrol,Automatic,6.6,589,Green,Liftback,Middle East,1,Very Good,Yes
2422,E-Class,AMG Line,2025,102721,89688,Petrol,Manual,5.5,518,Brown,Liftback,Asia Pacific,2,Like New,No
2423,GLE,Premium Plus,2016,87279,209703,Plug-in Hybrid,Manual,6,208,Silver,SUV,Europe,4,New,Yes
2424,GLE,Premium,2017,100354,190816,Plug-in Hybrid,Automatic,5.2,433,Blue,SUV,Middle East,2,Like New,Yes
2425,A-Class,Night Edition,2020,52365,165308,Petrol,Manual,4.3,343,Black,Liftback,Middle East,4,Excellent,Yes
2426,GLE,Night Edition,2019,103870,127666,Diesel,Automatic,5.5,606,Black,SUV,Europe,4,Like New,Yes
2427,E-Class,Premium Plus,2016,91664,54242,Petrol,Automatic,2.4,441,Black,Hatchback,North America,2,New,No
2428,B-Class,Premium,2020,60235,132743,Plug-in Hybrid,Manual,5.7,553,Gray,Convertible,Latin America,2,Fair,No
2429,GLB,Premium Plus,2024,49246,37688,Petrol,Automatic,3.1,227,Blue,Roadster,North America,2,Fair,Yes
2430,C-Class,Base,2019,45113,174142,Petrol,Manual,5.2,231,White,Coupe,Asia Pacific,3,Good,Yes
2431,EQA,Premium Plus,2022,88893,123016,Electric,Automatic,0,468,Beige,SUV,Europe,4,Excellent,Yes
2432,GLB,Night Edition,2013,53538,79862,Diesel,Manual,5.9,313,Red,Coupe,Latin America,4,Very Good,No
2433,GLS,Exclusive,2017,124146,42831,Hybrid,Automatic,3.9,612,Green,SUV,Latin America,3,Fair,Yes
2434,C-Class,Luxury,2018,68540,93644,Petrol,Manual,6.5,396,Gray,SUV,Middle East,2,Like New,No
2435,GLE,Premium Plus,2024,100630,18841,Hybrid,Manual,4.1,272,Brown,SUV,North America,1,Like New,Yes
2436,GLC,Sport,2016,76240,197130,Petrol,Manual,3.4,545,Beige,Hatchback,Latin America,1,Excellent,No
2437,GLC,Premium Plus,2022,79094,28619,Hybrid,Manual,4.7,512,Blue,Hatchback,Middle East,1,Fair,Yes
2438,E-Class,Premium,2010,86558,132578,Plug-in Hybrid,Manual,2.3,288,Blue,Coupe,Latin America,2,New,No
2439,GLE,Luxury,2018,125478,28594,Hybrid,Manual,2.1,604,Brown,SUV,Middle East,2,New,Yes
2440,EQA,Premium Plus,2014,63777,216352,Electric,Automatic,0,307,Gold,Sedan,Africa,4,Very Good,Yes
2441,GLA,Premium,2025,75020,35060,Plug-in Hybrid,Automatic,5.9,261,Brown,Hatchback,Latin America,1,Like New,Yes
2442,GLB,Sport,2010,78725,122407,Plug-in Hybrid,Automatic,3.9,394,Silver,Coupe,North America,2,New,No
2443,GLB,Premium Plus,2008,54444,66108,Petrol,Manual,6.9,313,Green,Wagon,Asia Pacific,1,Excellent,Yes
2444,EQA,Avantgarde,2023,105388,45233,Electric,Automatic,0,587,Silver,Sedan,Europe,3,Like New,No
2445,GLA,Base,2018,55582,204116,Petrol,Manual,5.8,316,Red,Convertible,Middle East,4,Excellent,Yes
2446,AMG GT,Sport,2022,157333,75291,Hybrid,Manual,1.3,236,Beige,Coupe,North America,2,New,Yes
2447,B-Class,Base,2020,65570,171854,Hybrid,Manual,5.8,336,White,Convertible,Latin America,2,New,No
2448,CLA,Avantgarde,2021,44945,131426,Plug-in Hybrid,Manual,4.7,210,Beige,Coupe,Middle East,3,Fair,No
2449,GLE,Base,2014,63567,164569,Hybrid,Automatic,3.9,154,Gold,SUV,North America,4,Good,Yes
2450,GLS,Sport,2015,116609,48081,Plug-in Hybrid,Manual,5.6,172,Red,SUV,Latin America,3,Like New,Yes
2451,GLS,Avantgarde,2016,107306,66082,Petrol,Automatic,5.8,133,Gold,SUV,Africa,2,New,No
2452,GLA,Base,2020,67396,173708,Hybrid,Manual,1.6,236,Red,Sedan,Latin America,3,New,Yes
2453,EQA,Night Edition,2023,79645,151054,Electric,Automatic,0,349,Green,SUV,Africa,2,Very Good,Yes
2454,GLE,Sport,2025,111557,150097,Plug-in Hybrid,Manual,3.9,489,Blue,SUV,Europe,4,Like New,No
2455,GLE,Sport,2014,82720,153629,Petrol,Manual,2.8,180,Gray,SUV,North America,3,New,Yes
2456,AMG GT,Night Edition,2024,153940,164547,Plug-in Hybrid,Automatic,6.2,192,Silver,Coupe,North America,2,Like New,Yes
2457,AMG GT,Base,2020,139432,138093,Diesel,Automatic,5.3,486,Blue,Coupe,Africa,1,Fair,Yes
2458,GLS,AMG Line,2015,94175,202786,Hybrid,Manual,6.8,357,Blue,SUV,North America,1,Fair,No
2459,GLE,Base,2009,39706,232922,Diesel,Automatic,3.6,164,Silver,SUV,North America,4,Fair,Yes
2460,AMG GT,Night Edition,2008,142795,230027,Plug-in Hybrid,Automatic,3.7,637,Beige,Coupe,Latin America,3,Fair,Yes
2461,C-Class,Premium,2014,40897,82158,Plug-in Hybrid,Automatic,6.1,156,Green,Hatchback,North America,3,Fair,No
2462,GLE,Avantgarde,2017,85027,83298,Plug-in Hybrid,Manual,2,204,Green,SUV,North America,2,Excellent,No
2463,GLA,Exclusive,2019,68679,135248,Petrol,Automatic,3.4,382,Green,Liftback,Africa,1,New,Yes
2464,S-Class,Luxury,2012,90758,193631,Hybrid,Automatic,4,172,Gray,SUV,North America,4,Excellent,Yes
2465,EQC,Luxury,2010,91278,126897,Electric,Automatic,0,480,Green,SUV,Africa,4,Very Good,Yes
2466,S-Class,Premium Plus,2014,118749,88959,Plug-in Hybrid,Manual,3.8,147,Gold,SUV,Europe,2,New,Yes
2467,EQC,Avantgarde,2011,108944,175892,Electric,Automatic,0,574,Gold,Sedan,Middle East,2,New,Yes
2468,S-Class,Base,2017,113588,94860,Diesel,Automatic,2,594,Black,SUV,Europe,4,Fair,Yes
2469,GLE,AMG Line,2008,86331,148991,Plug-in Hybrid,Manual,3.9,468,Blue,SUV,Latin America,2,Good,Yes
2470,GLE,Sport,2009,69812,66790,Diesel,Automatic,4,337,White,SUV,Asia Pacific,3,Very Good,No
2471,A-Class,Avantgarde,2016,61849,36414,Hybrid,Automatic,6.5,271,Red,Wagon,North America,2,New,No
2472,C-Class,Premium Plus,2020,56924,172057,Diesel,Manual,5.4,480,Brown,Coupe,Europe,3,Good,No
2473,GLA,Exclusive,2020,45597,96140,Hybrid,Manual,5.6,132,Gold,Convertible,Asia Pacific,3,Good,Yes
2474,S-Class,Avantgarde,2023,116944,38716,Diesel,Automatic,3.4,488,Brown,SUV,Middle East,4,Good,No
2475,EQC,Exclusive,2010,81216,88126,Electric,Automatic,0,479,Green,SUV,Africa,2,Fair,Yes
2476,EQB,Premium Plus,2010,59635,203329,Electric,Automatic,0,317,Blue,Sedan,Asia Pacific,1,Good,Yes
2477,CLA,AMG Line,2008,55016,188104,Plug-in Hybrid,Manual,4.3,217,Gray,Coupe,Middle East,3,New,No
2478,GLS,AMG Line,2020,96949,191915,Diesel,Manual,4.1,112,Silver,SUV,North America,3,Like New,Yes
2479,GLE,Night Edition,2019,99739,111767,Plug-in Hybrid,Automatic,5.8,477,Blue,SUV,North America,2,Very Good,Yes
2480,E-Class,AMG Line,2018,64772,169573,Diesel,Manual,3.7,280,Gray,Liftback,Asia Pacific,1,Very Good,Yes
2481,S-Class,Base,2023,134274,91017,Hybrid,Manual,3.3,601,Black,SUV,Latin America,2,Very Good,No
2482,GLA,Premium,2014,59449,126583,Petrol,Automatic,2.1,535,Blue,Roadster,Europe,1,Very Good,No
2483,GLA,Exclusive,2018,61414,99314,Hybrid,Automatic,5,439,Black,Coupe,Europe,4,Good,Yes
2484,B-Class,Avantgarde,2018,55754,158289,Plug-in Hybrid,Manual,1.8,376,Silver,Sedan,Europe,4,Very Good,No
2485,GLB,AMG Line,2024,57473,159584,Petrol,Manual,3.4,271,Brown,Sedan,Latin America,2,Excellent,Yes
2486,EQA,Night Edition,2009,54658,139042,Electric,Automatic,0,198,Brown,Sedan,Africa,3,Very Good,Yes
2487,A-Class,Luxury,2021,62158,35797,Plug-in Hybrid,Automatic,2.3,438,Gray,SUV,Europe,2,Fair,Yes
2488,S-Class,AMG Line,2018,137561,83307,Plug-in Hybrid,Automatic,3.6,476,White,SUV,Latin America,1,Like New,Yes
2489,AMG GT,Exclusive,2023,169350,88087,Plug-in Hybrid,Manual,4.6,407,Red,Coupe,Middle East,2,Like New,Yes
2490,EQC,AMG Line,2011,87566,78264,Electric,Automatic,0,270,Brown,Sedan,Asia Pacific,1,Excellent,Yes
2491,GLE,Base,2017,71721,33252,Petrol,Manual,2.5,252,Red,SUV,Middle East,3,Fair,Yes
2492,E-Class,Night Edition,2008,73005,95668,Plug-in Hybrid,Manual,6.5,486,Black,Convertible,Latin America,4,Fair,Yes
2493,GLC,Premium,2012,65970,168768,Plug-in Hybrid,Automatic,1.6,262,Green,Sedan,Europe,4,Excellent,No
2494,GLS,Night Edition,2019,125608,91898,Plug-in Hybrid,Manual,2.3,509,Gray,SUV,Latin America,1,Good,No
2495,C-Class,AMG Line,2023,79463,47267,Hybrid,Automatic,3.3,525,Brown,Coupe,Asia Pacific,3,Good,Yes
2496,A-Class,Premium,2015,54156,88517,Diesel,Automatic,1.8,289,Blue,Coupe,Latin America,4,New,Yes
2497,GLC,AMG Line,2009,67878,149853,Petrol,Manual,6.6,428,Gold,Sedan,Africa,2,Excellent,No
2498,C-Class,Sport,2015,51599,216280,Hybrid,Manual,3.9,174,White,Wagon,Asia Pacific,1,Like New,No
2499,EQB,Exclusive,2024,90720,56237,Electric,Automatic,0,361,Black,Sedan,Asia Pacific,1,Very Good,Yes
2500,AMG GT,Sport,2023,150097,176528,Petrol,Automatic,5,578,Beige,Coupe,Latin America,4,Fair,Yes
2501,EQB,Sport,2012,78148,69497,Electric,Automatic,0,376,Blue,SUV,North America,4,Good,Yes
2502,EQB,AMG Line,2017,74067,178754,Electric,Automatic,0,337,Silver,SUV,Asia Pacific,1,Very Good,No
2503,EQA,Base,2023,98800,55741,Electric,Automatic,0,564,Red,SUV,Europe,1,Very Good,Yes
2504,EQC,Premium,2021,83975,133119,Electric,Automatic,0,192,Silver,SUV,Middle East,4,Excellent,Yes
2505,CLA,Avantgarde,2010,35392,124110,Petrol,Manual,5.4,246,Red,Coupe,Africa,4,Good,No
2506,EQA,Premium Plus,2015,72640,89342,Electric,Automatic,0,420,Green,Sedan,Middle East,4,Good,Yes
2507,CLA,Base,2011,49491,126756,Plug-in Hybrid,Manual,5.9,388,White,Coupe,Europe,4,Fair,Yes
2508,GLE,AMG Line,2024,99460,19042,Diesel,Manual,1.8,235,White,SUV,Europe,3,New,Yes
2509,GLE,Premium,2012,101001,184532,Plug-in Hybrid,Automatic,3.6,477,Black,SUV,Latin America,2,New,Yes
2510,GLE,Avantgarde,2024,78184,32973,Petrol,Manual,6.6,320,Gold,SUV,Latin America,4,Fair,No
2511,EQC,Premium,2025,73714,130189,Electric,Automatic,0,223,Blue,Sedan,Africa,2,Fair,Yes
2512,S-Class,Sport,2012,85400,160950,Petrol,Manual,6.2,144,Black,SUV,Europe,4,Very Good,Yes
2513,EQB,AMG Line,2018,85573,103051,Electric,Automatic,0,208,Gray,SUV,Asia Pacific,2,New,Yes
2514,S-Class,Sport,2010,101632,97137,Hybrid,Manual,5,167,Brown,SUV,Europe,1,Like New,No
2515,EQB,Luxury,2016,86367,35350,Electric,Automatic,0,480,Beige,SUV,Asia Pacific,4,Good,No
2516,CLA,Premium,2024,77666,185034,Petrol,Manual,2.9,538,Gray,Coupe,Middle East,4,Like New,Yes
2517,GLE,Sport,2012,71619,188494,Petrol,Automatic,5.2,190,Beige,SUV,Latin America,2,Like New,Yes
2518,GLC,Premium,2020,63593,107397,Diesel,Manual,2.5,201,Gold,Convertible,North America,4,Like New,Yes
2519,EQC,Sport,2010,64517,180242,Electric,Automatic,0,204,Red,SUV,Asia Pacific,3,Good,Yes
2520,C-Class,AMG Line,2020,82090,52589,Diesel,Manual,2.6,563,Silver,Roadster,Latin America,2,Like New,Yes
2521,GLS,Sport,2024,111527,117897,Petrol,Manual,6.8,236,Green,SUV,North America,3,Excellent,No
2522,EQB,Avantgarde,2024,75186,152523,Electric,Automatic,0,365,Brown,Sedan,Middle East,3,Fair,No
2523,GLS,Exclusive,2020,130035,105779,Petrol,Manual,4.3,426,Gray,SUV,Africa,3,New,Yes
2524,E-Class,Base,2013,62900,132174,Diesel,Manual,3.8,109,Beige,Wagon,Latin America,3,New,No
2525,E-Class,Luxury,2015,85005,203207,Plug-in Hybrid,Manual,4.3,570,Brown,Sedan,North America,1,Very Good,Yes
2526,GLC,Sport,2016,72709,112657,Petrol,Automatic,5,191,Green,Liftback,Middle East,2,New,No
2527,EQC,Avantgarde,2019,114775,43695,Electric,Automatic,0,535,Green,SUV,Asia Pacific,1,Like New,Yes
2528,GLA,Sport,2010,56954,82225,Plug-in Hybrid,Manual,4.1,407,Black,Wagon,Asia Pacific,2,Good,Yes
2529,E-Class,Sport,2014,73928,187888,Diesel,Manual,4.8,637,Gray,Liftback,Middle East,4,Fair,Yes
2530,EQC,Luxury,2018,111464,105762,Electric,Automatic,0,500,Red,SUV,Asia Pacific,4,New,Yes
2531,CLA,AMG Line,2024,89433,182903,Hybrid,Manual,4.8,601,Red,Coupe,Europe,1,New,Yes
2532,S-Class,Avantgarde,2012,116519,51118,Plug-in Hybrid,Automatic,2,437,Gray,SUV,North America,2,Good,No
2533,E-Class,Base,2023,64711,54758,Hybrid,Manual,3.4,161,Blue,Wagon,Latin America,2,Fair,No
2534,EQB,Base,2012,58864,199522,Electric,Automatic,0,365,White,Sedan,Latin America,3,Fair,Yes
2535,AMG GT,Premium,2016,158375,192648,Diesel,Automatic,2.1,465,Beige,Coupe,Asia Pacific,1,New,Yes
2536,EQC,Base,2014,86502,153396,Electric,Automatic,0,429,Beige,SUV,Middle East,4,Very Good,Yes
2537,B-Class,Base,2015,48542,118236,Diesel,Manual,5.4,537,Green,SUV,Africa,3,Fair,No
2538,AMG GT,Night Edition,2018,141040,127653,Hybrid,Manual,2.7,351,Green,Coupe,North America,1,Good,Yes
2539,EQC,Premium Plus,2010,95583,62704,Electric,Automatic,0,335,Black,Sedan,Africa,2,New,Yes
2540,B-Class,Avantgarde,2009,70156,135285,Diesel,Automatic,6.4,575,Gray,Convertible,Europe,2,New,Yes
2541,GLE,Premium Plus,2011,94286,146448,Diesel,Manual,3.3,562,Silver,SUV,Africa,3,Like New,Yes
2542,GLB,Base,2020,54376,114096,Hybrid,Automatic,3.4,306,Blue,Roadster,Latin America,1,Fair,Yes
2543,E-Class,AMG Line,2023,70150,150785,Diesel,Manual,3.8,286,Brown,SUV,Europe,1,Very Good,Yes
2544,S-Class,Night Edition,2021,101658,74624,Diesel,Manual,4.9,258,Silver,SUV,Europe,2,Very Good,Yes
2545,S-Class,Premium,2010,105621,210962,Plug-in Hybrid,Automatic,2.5,177,Green,SUV,Africa,4,New,No
2546,EQA,Exclusive,2009,68084,203116,Electric,Automatic,0,393,White,Sedan,Middle East,3,Very Good,No
2547,GLC,Base,2013,69578,104329,Hybrid,Automatic,2.3,141,Brown,Coupe,Europe,1,New,Yes
2548,C-Class,Premium Plus,2024,66321,46754,Hybrid,Automatic,3.4,188,Green,Coupe,Latin America,4,Excellent,Yes
2549,E-Class,Night Edition,2021,64843,23559,Hybrid,Manual,5.8,208,Brown,Hatchback,Europe,2,Fair,Yes
2550,C-Class,Premium,2023,63071,150208,Diesel,Automatic,2.5,433,Gold,Liftback,North America,2,Very Good,Yes
2551,GLE,Premium Plus,2017,93922,88798,Plug-in Hybrid,Automatic,2.3,265,Brown,SUV,Latin America,3,Like New,Yes
2552,B-Class,Luxury,2024,90979,110795,Plug-in Hybrid,Manual,5.6,633,White,Hatchback,Asia Pacific,4,Like New,Yes
2553,C-Class,Premium,2020,32605,172288,Hybrid,Manual,6.9,109,Green,Hatchback,Europe,1,Fair,Yes
2554,A-Class,Avantgarde,2017,40390,181062,Hybrid,Automatic,1.8,312,Silver,Roadster,Asia Pacific,1,Good,Yes
2555,EQA,Luxury,2008,52727,224432,Electric,Automatic,0,201,Silver,Sedan,North America,4,Very Good,No
2556,EQA,Night Edition,2020,69949,60166,Electric,Automatic,0,221,Green,Sedan,Middle East,1,Good,Yes
2557,GLC,Night Edition,2015,80648,94341,Petrol,Automatic,2,494,Silver,SUV,Africa,1,Excellent,No
2558,E-Class,Exclusive,2011,62432,109619,Hybrid,Manual,4,335,Gold,Coupe,Latin America,3,Good,Yes
2559,EQB,Exclusive,2010,66136,139799,Electric,Automatic,0,298,Brown,Sedan,Latin America,2,Very Good,Yes
2560,B-Class,Exclusive,2019,66002,96498,Diesel,Automatic,4.2,553,Red,Sedan,Europe,1,Excellent,Yes
2561,EQC,Premium Plus,2017,81742,139925,Electric,Automatic,0,278,Blue,SUV,North America,3,Good,Yes
2562,GLA,Premium Plus,2008,24529,119783,Diesel,Automatic,6.4,124,Gray,Liftback,Latin America,2,Good,No
2563,C-Class,Exclusive,2013,76099,68695,Petrol,Manual,5,506,Blue,Roadster,Africa,1,Like New,No
2564,B-Class,AMG Line,2022,78143,35486,Petrol,Manual,2.3,450,White,Liftback,Europe,1,New,Yes
2565,S-Class,Luxury,2012,85098,192724,Diesel,Automatic,2.9,127,Silver,SUV,Africa,1,Like New,Yes
2566,E-Class,Luxury,2011,70899,138232,Petrol,Automatic,3.8,424,Green,Wagon,Europe,2,Excellent,Yes
2567,EQC,Base,2020,88313,102049,Electric,Automatic,0,196,Blue,Sedan,Africa,4,Excellent,No
2568,E-Class,Premium,2024,95814,107255,Plug-in Hybrid,Automatic,3.5,224,Silver,Convertible,Middle East,1,New,No
2569,S-Class,Sport,2013,120810,67071,Petrol,Manual,6.7,316,Gold,SUV,Latin America,4,New,Yes
2570,EQC,Base,2018,87294,161199,Electric,Automatic,0,562,Beige,SUV,Asia Pacific,3,Fair,Yes
2571,S-Class,Luxury,2024,115944,160196,Hybrid,Manual,2.5,193,Gray,SUV,Latin America,4,New,Yes
2572,E-Class,Base,2021,80722,155905,Diesel,Automatic,3.9,251,Gray,Wagon,Asia Pacific,3,New,No
2573,GLE,Avantgarde,2021,100159,69023,Petrol,Automatic,1.7,371,Beige,SUV,Asia Pacific,1,Like New,Yes
2574,EQC,Avantgarde,2021,93400,79539,Electric,Automatic,0,451,White,SUV,North America,4,Fair,No
2575,EQB,Premium Plus,2023,80232,46841,Electric,Automatic,0,349,Black,Sedan,Latin America,2,Fair,Yes
2576,S-Class,Luxury,2011,91185,159885,Diesel,Manual,6.5,163,Beige,SUV,Africa,3,Excellent,No
2577,EQA,Night Edition,2008,76943,191524,Electric,Automatic,0,485,Green,Sedan,Middle East,1,Like New,Yes
2578,EQB,Avantgarde,2021,90765,118479,Electric,Automatic,0,261,Blue,Sedan,Africa,2,New,No
2579,GLA,Exclusive,2011,51315,54469,Diesel,Automatic,1.5,278,Brown,Coupe,Europe,3,Excellent,No
2580,CLA,Exclusive,2009,57919,123291,Hybrid,Manual,3.6,523,White,Coupe,North America,2,Good,Yes
2581,GLE,Sport,2008,100065,123850,Plug-in Hybrid,Automatic,5.3,382,Red,SUV,North America,4,New,No
2582,GLA,Night Edition,2020,79840,78754,Hybrid,Manual,6.6,622,Green,SUV,North America,3,Very Good,No
2583,GLS,Night Edition,2010,94291,95309,Diesel,Manual,3.9,372,Beige,SUV,North America,2,Good,Yes
2584,S-Class,Avantgarde,2018,125668,101560,Hybrid,Automatic,1.7,443,Green,SUV,North America,2,Excellent,Yes
2585,GLB,Premium Plus,2016,39309,87084,Petrol,Automatic,1.8,159,White,Sedan,Africa,2,Fair,No
2586,EQB,AMG Line,2015,85854,189842,Electric,Automatic,0,478,Silver,SUV,Middle East,1,Excellent,Yes
2587,A-Class,Avantgarde,2021,47750,118438,Diesel,Manual,1.3,167,Green,Sedan,Latin America,1,New,Yes
2588,A-Class,Premium Plus,2010,29268,158049,Diesel,Manual,5,134,White,Liftback,Europe,1,Like New,Yes
2589,GLC,Sport,2022,96549,142635,Diesel,Automatic,3.4,620,Beige,Roadster,Africa,2,New,No
2590,GLB,Base,2008,64402,145376,Diesel,Manual,5.9,623,Gray,SUV,Latin America,2,Excellent,Yes
2591,A-Class,Avantgarde,2024,50279,118526,Diesel,Automatic,1.7,252,Blue,Hatchback,Europe,3,Excellent,No
2592,GLS,Luxury,2023,120048,163127,Hybrid,Automatic,6.4,544,Beige,SUV,North America,1,Good,Yes
2593,A-Class,AMG Line,2018,55006,32093,Plug-in Hybrid,Automatic,2.9,228,Brown,Sedan,Africa,4,Excellent,No
2594,GLS,Avantgarde,2017,105660,87396,Petrol,Manual,4.4,497,Gray,SUV,North America,3,Fair,Yes
2595,GLE,Premium Plus,2009,79414,122283,Plug-in Hybrid,Automatic,1.5,159,Blue,SUV,Asia Pacific,2,Like New,Yes
2596,GLB,Luxury,2014,49624,69662,Petrol,Automatic,5.8,262,Red,Wagon,Asia Pacific,3,Good,Yes
2597,CLA,Luxury,2023,62627,168568,Petrol,Manual,5.6,574,Red,Coupe,North America,1,Fair,Yes
2598,E-Class,Luxury,2018,109437,84012,Plug-in Hybrid,Automatic,2.7,553,Gray,Coupe,Latin America,3,New,No
2599,GLS,Exclusive,2020,108106,104590,Diesel,Manual,4,433,Gold,SUV,Latin America,2,Good,Yes
2600,A-Class,Premium Plus,2019,49683,106864,Plug-in Hybrid,Manual,1.8,200,Black,Sedan,North America,2,Very Good,Yes
2601,C-Class,Sport,2022,83424,91457,Hybrid,Manual,6.1,434,Gold,Coupe,Europe,1,Like New,Yes
2602,EQC,Premium,2008,91486,220393,Electric,Automatic,0,388,Gray,SUV,Europe,3,New,Yes
2603,C-Class,Avantgarde,2010,57259,175043,Hybrid,Manual,4.1,301,Silver,SUV,North America,2,Like New,Yes
2604,A-Class,AMG Line,2021,63105,78242,Hybrid,Automatic,4.7,533,White,Hatchback,Middle East,2,Good,No
2605,EQB,Avantgarde,2011,83133,181591,Electric,Automatic,0,478,Blue,SUV,Europe,3,Excellent,Yes
2606,GLE,Night Edition,2011,75917,162863,Plug-in Hybrid,Manual,5.5,136,Blue,SUV,Asia Pacific,1,Excellent,Yes
2607,GLC,Exclusive,2025,85993,82645,Diesel,Automatic,1.6,324,Black,SUV,Asia Pacific,1,New,No
2608,GLS,Exclusive,2009,124746,114123,Hybrid,Manual,6.2,419,Black,SUV,Asia Pacific,2,New,Yes
2609,GLC,AMG Line,2018,101402,79979,Hybrid,Automatic,4.5,603,Gray,Sedan,Asia Pacific,1,New,No
2610,CLA,Premium,2025,87650,125143,Hybrid,Manual,6,555,Brown,Coupe,Latin America,3,Like New,Yes
2611,EQC,Premium Plus,2021,96853,71030,Electric,Automatic,0,542,Gold,Sedan,North America,3,Fair,No
2612,B-Class,Premium,2009,46254,104566,Hybrid,Manual,4.1,462,White,Sedan,Asia Pacific,3,Fair,Yes
2613,GLA,AMG Line,2018,61986,70946,Diesel,Manual,6.7,293,Silver,Coupe,Asia Pacific,4,Like New,Yes
2614,GLA,Sport,2021,92970,35080,Hybrid,Manual,1.6,632,Gold,Coupe,Europe,1,Excellent,No
2615,AMG GT,Night Edition,2008,146470,74467,Diesel,Automatic,3.8,516,Brown,Coupe,Asia Pacific,1,Very Good,Yes
2616,EQC,Premium Plus,2008,84147,102529,Electric,Automatic,0,437,Gray,SUV,Asia Pacific,1,Good,Yes
2617,E-Class,Premium Plus,2024,101990,48316,Petrol,Manual,3.3,391,Blue,SUV,Africa,2,New,Yes
2618,C-Class,Avantgarde,2009,82562,85743,Plug-in Hybrid,Automatic,1.6,474,Silver,Sedan,Middle East,1,New,Yes
2619,S-Class,Premium,2020,95296,154550,Petrol,Manual,6.3,278,Blue,SUV,Middle East,1,Fair,Yes
2620,S-Class,Premium Plus,2014,107636,124375,Hybrid,Manual,1.7,323,Red,SUV,North America,3,Excellent,Yes
2621,B-Class,Base,2008,60892,162096,Petrol,Manual,6,515,Beige,Sedan,Europe,2,New,No
2622,A-Class,Exclusive,2020,56757,147346,Petrol,Manual,5.3,589,White,Coupe,Africa,4,Good,Yes
2623,C-Class,Sport,2012,44822,170991,Petrol,Automatic,6.9,267,Silver,Liftback,Latin America,1,Excellent,Yes
2624,GLB,AMG Line,2011,44130,103535,Diesel,Manual,3.7,334,Brown,Hatchback,North America,2,Good,No
